,environment_minded,perceive_weather_change,anticipate_negative_consequences,capable_implement,think_measures_effective,social_connectedness,prop_implemented
25,3.3333333333333335,1.6666666666666667,4.0,2.2,2.4,1.7142857142857142,0.38461538461538464
26,3.6666666666666665,2.1666666666666665,3.5,2.0,2.4,2.0,0.1
27,3.0,2.0,4.0,2.2,2.5,2.0,0.23076923076923078
28,5.0,2.8333333333333335,4.5,4.6,4.166666666666667,1.75,0.5
29,5.0,1.8333333333333333,4.0,4.0,4.5,1.9,0.6153846153846154
30,3.3333333333333335,1.6666666666666667,4.0,2.4,2.5384615384615383,2.4285714285714284,0.5384615384615384
31,4.0,2.0,5.0,2.4,2.25,2.5,0.5
32,4.333333333333333,1.8333333333333333,3.0,3.0,3.166658581802813,1.8,0.3333333333333333
33,3.3333333333333335,1.6666666666666667,4.0,3.6,3.8333333333333335,2.0,0.6666666666666666
34,5.0,2.0,4.5,3.6,3.8461538461538463,1.7,0.6923076923076923
35,2.6666666666666665,2.6666666666666665,4.0,2.2,2.4615384615384617,2.0,0.0
36,5.0,1.8333333333333333,3.5,3.6,3.5,2.0,0.3333333333333333
37,5.0,1.6666666666666667,4.5,3.4,4.0,2.0,0.5384615384615384
38,4.666666666666667,3.0,3.5,4.2,5.0,3.0,0.23076923076923078
39,4.333333333333333,1.6666666666666667,4.0,3.2,4.142857142857143,1.0,0.38461538461538464
40,2.6666666666666665,2.0,3.0,3.6,4.0,2.4,0.16666666666666666
41,4.333333333333333,1.8333333333333333,4.0,2.6,2.4,1.5,0.3333333333333333
42,4.666666666666667,2.0,4.0,3.2,3.0,1.5,0.16666666666666666
43,3.3333333333333335,1.8333333333333333,4.0,4.0,4.0,1.75,0.38461538461538464
44,3.0,1.5,4.5,2.2,3.3333333333333335,1.3333333333333333,0.46153846153846156
45,3.6666666666666665,1.5,4.0,2.8,2.5,2.5,0.38461538461538464
46,4.666666666666667,2.0,4.0,4.0,3.6666666666666665,2.1,0.3333333333333333
47,4.333333333333333,2.0,3.5,3.6,3.0,3.0,0.3333333333333333
48,3.3333333333333335,2.1666666666666665,4.5,4.6,4.0,2.0,0.6666666666666666
49,3.0,2.0,3.5,2.8,3.0,2.25,0.3333333333333333
50,3.3333333333333335,1.5,4.0,3.0,5.0,3.0,0.2
51,4.666666666666667,1.5,3.5,3.0,3.9,2.0,0.1
52,4.0,1.5,4.0,2.2,3.1666666666666665,2.1,0.5
53,3.0,1.8333333333333333,4.0,3.6,4.3,2.0,0.16666666666666666
54,3.0,1.6666666666666667,2.5,2.6,2.2,3.0,0.3333333333333333
55,2.0,1.8333333333333333,1.0,1.0,2.6153846153846154,2.3,0.3076923076923077
56,4.333333333333333,1.6666666666666667,3.5,2.2,2.076923076923077,2.5,0.46153846153846156
57,4.0,1.3333333333333333,3.0,2.8,3.111111111111111,3.0,0.7
58,4.0,1.0,4.0,3.0,3.769230769230769,1.0,0.46153846153846156
59,3.3333333333333335,2.1666666666666665,4.0,3.2,3.5,2.0,0.46153846153846156
60,4.0,2.5,5.0,2.8,3.230769230769231,3.0,0.3076923076923077
61,4.0,1.6666666666666667,4.0,3.2,3.2222222222222223,2.0,0.23076923076923078
62,4.333333333333333,2.0,1.5,2.0,1.0769230769230769,1.5,0.0
63,4.0,1.8333333333333333,4.0,4.2,3.6363636363636362,2.0,0.5454545454545454
64,3.3333333333333335,2.5,4.0,2.8,2.6923076923076925,1.0,0.5384615384615384
65,2.6666666666666665,1.0,3.5,1.6,1.0,2.0,0.3
66,2.0,2.5,2.0,4.8,4.571428571428571,1.1,0.8571428571428571
67,3.6666666666666665,2.0,2.0,3.0,3.0,2.7777777777777777,0.3333333333333333
68,5.0,1.6666666666666667,4.0,3.2,3.5555555555555554,1.6,0.5555555555555556
69,4.0,1.8333333333333333,5.0,3.6,2.9166666666666665,3.0,0.46153846153846156
70,3.6666666666666665,1.6666666666666667,4.5,4.0,2.769230769230769,2.0,0.38461538461538464
71,4.333333333333333,1.6666666666666667,4.0,3.6,3.5,2.0,0.6666666666666666
72,5.0,1.3333333333333333,3.0,3.4,3.8,1.6666666666666667,0.6
73,3.0,1.6666666666666667,4.0,4.0,3.6363636363636362,1.5714285714285714,0.4166666666666667
74,4.666666666666667,2.3333333333333335,4.5,4.8,3.909090909090909,1.1,0.7692307692307693
75,3.6666666666666665,1.8333333333333333,3.5,4.4,3.8333333333333335,2.0,0.46153846153846156
76,4.0,1.8333333333333333,4.0,3.8,3.25,1.8333333333333333,0.3076923076923077
77,3.0,1.3333333333333333,3.5,1.2,2.2,2.0,0.16666666666666666
78,4.333333333333333,2.5,4.5,3.0,3.3076923076923075,2.0,0.46153846153846156
79,4.333333333333333,1.6666666666666667,4.0,4.4,3.875,3.0,0.5384615384615384
80,3.6666666666666665,2.0,4.0,2.8,2.909090909090909,1.7777777777777777,0.3333333333333333
81,3.3333333333333335,2.3333333333333335,5.0,2.6,3.2,2.0,0.2
82,3.3333333333333335,2.5,5.0,3.2,4.5,1.6,0.3333333333333333
83,3.0,1.5,4.0,1.6,2.111111111111111,2.0,0.25
84,4.0,1.3333333333333333,3.5,3.4,1.8,2.0,0.1
85,3.3333333333333335,1.6666666666666667,4.5,2.8,3.4,2.25,0.4
86,4.333333333333333,1.6666666666666667,2.0,2.4,3.8333333333333335,1.6666666666666667,0.3
87,2.6666666666666665,1.3333333333333333,3.5,3.2,2.3333333333333335,2.25,0.16666666666666666
88,3.6666666666666665,1.8333333333333333,3.0,3.2,3.0,1.6666666666666667,0.3333333333333333
89,4.666666666666667,2.0,4.0,3.8,3.727272727272727,2.4,0.38461538461538464
90,3.0,2.0,3.0,3.2,3.2857142857142856,2.1,0.5714285714285714
91,3.6666666666666665,2.0,4.0,3.0,3.2222222222222223,1.0,0.18181818181818182
92,5.0,2.1666666666666665,3.0,3.8,3.0,2.0,0.07692307692307693
93,4.333333333333333,1.5,2.0,2.6,3.1666666666666665,1.8,0.6666666666666666
94,2.3333333333333335,1.1666666666666667,3.5,1.0,3.1666666666666665,2.6,0.3333333333333333
95,3.6666666666666665,1.6666666666666667,4.0,3.2,3.7777777777777777,2.0,0.3076923076923077
96,3.6666666666666665,1.6666666666666667,4.0,3.2,3.6666666666666665,1.8333333333333333,0.6153846153846154
97,3.6666666666666665,1.5,2.5,2.4,3.1666666666666665,3.0,0.5
98,3.0,1.8333333333333333,4.0,3.0,3.8,2.0,0.5384615384615384
99,3.3333333333333335,1.3333333333333333,3.0,2.6,2.3846153846153846,2.0,0.46153846153846156
100,4.666666666666667,1.8333333333333333,4.5,3.0,3.0,3.0,0.4166666666666667
101,4.0,2.1666666666666665,5.0,3.6,4.166666666666667,1.0,0.2857142857142857
102,4.0,1.8333333333333333,3.5,2.4,2.3,2.0,0.23076923076923078
103,4.333333333333333,2.3333333333333335,3.5,4.8,3.6666666666666665,1.5,0.4166666666666667
104,4.333333333333333,1.8333333333333333,4.0,3.4,3.7,1.8,0.46153846153846156
